Series Name,Series Code,country_name,country_abb,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP per capita (current US$),NY.GDP.PCAP.CD,Kyrgyz Republic,KGZ,966.3938386,871.2242269,880.0385218,1123.883144,1177.975261,1282.438248,1279.770784,1121.082696,1120.667058,1242.77022,1308.139785,1451.515638,1256.929226,1365.508304,1739.8,1969.866481
GDP per capita (current US$),NY.GDP.PCAP.CD,Lao PDR,LAO,887.6395925,936.7901934,1127.834822,1363.724856,1566.009348,1815.440238,1984.508283,2125.458901,2309.049998,2439.462412,2553.360418,2598.505795,2593.355718,2535.623434,2054.430781,2075.401414
GDP per capita (current US$),NY.GDP.PCAP.CD,Latvia,LVA,16467.14369,12331.92855,11420.994,13338.96224,13847.33794,15007.49186,15742.39134,13786.4568,14331.75159,15695.11515,17865.03109,17883.34941,18096.20271,20930.39824,21508.40033,23184.31167
GDP per capita (current US$),NY.GDP.PCAP.CD,Lebanon,LBN,5957.696754,7149.791498,7695.245415,7914.109568,8500.180563,8255.209211,7665.379692,7802.751368,8172.299476,8679.897422,9225.845155,8925.42186,5599.957523,4136.146575,3823.938069,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Lesotho,LSO,885.6593032,866.4751272,1104.811547,1265.857945,1205.859985,1141.360923,1165.05065,1113.836835,986.2652498,1062.712433,1162.978854,1074.134047,910.9349475,1054.93274,992.8573285,878.0085055
GDP per capita (current US$),NY.GDP.PCAP.CD,Liberia,LBR,456.1446999,452.7452289,497.0203654,573.5264222,644.4555767,717.6357533,713.7348824,699.6629469,722.1312268,706.892692,700.0370394,665.8784476,624.28971,676.442927,754.5328486,799.5014005
GDP per capita (current US$),NY.GDP.PCAP.CD,Libya,LBY,13921.90371,9560.807534,11611.36235,7784.136359,15765.41527,12589.52794,9408.753043,7867.514931,7945.004215,10529.11635,11838.29582,10972.90252,9872.111144,7094.99982,8211.380948,7329.976541
GDP per capita (current US$),NY.GDP.PCAP.CD,Liechtenstein,LIE,143540.5734,126261.3973,141466.8273,158603.609,149461.7856,173659.4118,179467.5162,167809.2699,165845.9952,170875.6821,175286.679,167259.1603,165287.1868,197504.5489,187267.1324,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Lithuania,LTU,14944.99665,11820.77616,11987.50841,14376.94786,14367.70942,15729.65247,16551.0182,14263.96458,15008.31324,16885.40739,19186.35959,19615.54915,20381.85578,23849.6157,25078.74537,27102.78153
GDP per capita (current US$),NY.GDP.PCAP.CD,Luxembourg,LUX,120422.1379,109419.747,110885.9914,119025.0572,112584.6763,120000.1407,123678.7021,105462.0126,106899.2935,110193.2138,116786.5117,112726.4397,116905.3704,133711.7944,125006.0218,128259.4026
GDP per capita (current US$),NY.GDP.PCAP.CD,"Macao SAR, China",MAC,39745.7618,39754.97615,50676.38708,64528.36282,74111.60119,86853.47705,90873.60249,73220.63556,71919.05492,78896.27475,84779.45369,82998.6361,37474.73459,45104.89218,35192.52784,66835.06433
GDP per capita (current US$),NY.GDP.PCAP.CD,North Macedonia,MKD,5026.420299,4799.787228,4833.365868,5416.866729,5049.826539,5626.261157,5925.385922,5262.686719,5598.486226,5955.297386,6713.989254,6718.858266,6659.596511,7620.80297,7485.603458,8146.467975
GDP per capita (current US$),NY.GDP.PCAP.CD,Madagascar,MDG,522.830622,455.4073738,459.375408,516.9025393,504.1737377,526.6880196,517.1361831,455.6380346,464.6161584,503.4980587,512.5439915,512.2796656,462.4042288,503.3520812,516.772197,528.6501548
GDP per capita (current US$),NY.GDP.PCAP.CD,Malawi,MWI,557.5190094,630.1091541,688.1391912,769.0525992,563.0615397,501.197173,534.1269771,544.2768727,454.4432661,500.1655472,537.9322041,587.1154647,621.4177725,632.5331926,643.4331957,672.8697022
GDP per capita (current US$),NY.GDP.PCAP.CD,Malaysia,MYS,8343.303382,7167.877194,8880.145805,10209.37194,10601.51046,10727.66902,11045.58012,9699.600463,9555.669593,9979.704473,11073.97897,11132.10274,10164.34443,11134.62295,11993.18761,11648.67416
GDP per capita (current US$),NY.GDP.PCAP.CD,Maldives,MDV,6743.130961,6719.330257,7158.061411,7409.331909,7447.415608,8222.558038,8872.128386,9480.431513,9708.141349,10194.74614,11034.7236,11349.85927,7216.816377,10076.31753,11780.81691,12667.43567
GDP per capita (current US$),NY.GDP.PCAP.CD,Mali,MLI,676.1270011,680.6499586,688.3278659,810.182556,753.3921375,778.7970528,818.4303414,723.5042049,750.0518091,795.6828016,856.3565966,840.1757464,822.9061368,881.5100887,831.2234666,897.4486703
GDP per capita (current US$),NY.GDP.PCAP.CD,Malta,MLT,22205.35677,21083.27705,21798.91429,23155.10353,22526.53702,24769.59623,26753.27338,24921.71418,25623.94163,28813.18534,31785.88483,31751.18118,29592.57148,34951.70817,34563.39663,37882.26519
GDP per capita (current US$),NY.GDP.PCAP.CD,Marshall Islands,MHL,2716.815824,2815.413568,3007.142366,3247.899981,3453.864304,3618.496195,3678.105394,3708.215562,4156.939127,4512.592763,4771.359204,5186.833842,5545.600267,6130.437137,6225.179222,6762.548814
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritania,MRT,1610.236979,1418.940843,1646.130428,1919.452271,1850.384968,1929.775639,1715.388838,1562.726836,1579.200717,1634.642158,1749.954236,1800.875187,1836.292411,1998.394003,2057.380392,2149.414087
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritius,MUS,8030.052281,7318.12641,8000.376432,9197.042991,9291.236276,9764.644131,10366.35508,9507.871337,9965.725311,10841.68478,11643.4606,11403.25279,9011.042884,9068.97293,10239.79705,11416.85899
